artifact_role,experiment_id,path,kind,schema_or_format,analysis_id,sha256,git_tracked,status,used_by_component,notes
step8b_predictions,bejis_2022,outputs/experiments/bejis_2022/step8b/step8b_predictions.parquet,parquet,step8b_predictions,,36e71a7fcfbe91ce67673fd09cba599787179461879a9f68183a2b71ec584e33,no,inspected_not_used,none,"Same. Label-informed fold assignment; not used."
step8b_predictions,mugla_2021,outputs/experiments/mugla_2021/step8b/step8b_predictions.parquet,parquet,step8b_predictions,,d6d8b685ce4f45bf300a0c61305e90e75c789a3d6b13f5731ce5c76ff8fe9118,no,inspected_not_used,none,"Same. Label-informed fold assignment; not used."
step8b_predictions,evia_2021_extended,outputs/experiments/evia_2021_extended/step8b/step8b_predictions.parquet,parquet,step8b_predictions,,72baed6b1a90ba9ab6f9558e4db2cb103a87cc039411d78c54a962a5310986af,no,inspected_not_used,none,"Same. Label-informed fold assignment; not used."
existing_marginal_aoa_comparison,,outputs/diagnostics/marginal_area_of_applicability/comparison/multi_aoi_marginal_aoa_comparison.csv,csv,marginal_aoa.v1,4a5b8c80489933ba501394d237b2f3d41d96c4a62ad6388a5f1264cc6b545dee,ba4e41d37bd78a6c7d321d6db2306affda0c0ed7007f7deae60143beec10f9a2,no,frozen_read_only,unweighted_sidecar,"12 directed rows. Echoed into the completion table; authoritative copy must remain unchanged."
existing_marginal_aoa_manifest,,outputs/diagnostics/marginal_area_of_applicability/comparison/manifest.json,json,marginal_aoa.v1,4a5b8c80489933ba501394d237b2f3d41d96c4a62ad6388a5f1264cc6b545dee,912fa4ae709bc438bb6bdbc74ff1a58a905f5a33860de350efe9b641facc96b1,no,frozen_read_only,provenance,"Pins all four canonical Step8A hashes and the 12 pair analysis_ids. git_commit 3d7e663114c265c8cb57039c57658f1edbd1d1b4."
existing_marginal_aoa_pairs,,outputs/diagnostics/marginal_area_of_applicability/pairs/<source>__<target>/,directory,marginal_aoa.v1,per-pair,,no,frozen_read_only,unweighted_sidecar,"12 directories, each with summary.json, manifest.json, numeric_features.csv, categorical_features.csv, report.md and target_cells.parquet."
transfer_decomposition,,outputs/diagnostics/four_aoi_transfer_decomposition/bejis_2022__evia_2021_extended__manavgat_2021__mugla_2021/four_aoi_decomposition.csv,csv,four_aoi_transfer_decomposition.v1,,6b071b3ef7e93e0ae9d889ccfa98b852f9fc531b110df59e66f460ff2392c0d9,no,frozen_read_only,comparison_layer_only,"96 rows = 12 directions x 2 model families x 2 adaptation methods x 2 metrics. Readable ONLY by the post-analysis comparison layer."
geometry_source,,core/regions.py,python,module_constants_and_EXPERIMENTS_registry,,980eb5d4cf459ee52bf065f3b2fb2d644fb72449d62c0f8dfba1c58c93396275,yes,canonical,geographic_distance,"Tracked and clean at HEAD. Last commit 0a3c5fe85926a3ec3204c810fc72d2fe93afe923. Source of truth for all four AOI bboxes."
feature_contract_source,,src/step9a_audit_cross_region_inputs.py,python,shared_step9_contract,,43f93e4fe9676a64dc775f4d4d614056a7b5f8ce98242d3de83ebb416b226ad4,yes,canonical,weighted_dissimilarity,"SHARED_THERMAL_MODEL_FEATURES, CATEGORICAL_FEATURES, PRIMARY_POPULATIONS, FORBIDDEN_MODEL_COLUMNS, resolve_step8a_dataset_path."
scaling_contract_source,,core/step10_shared.py,python,step10_shared_helpers,,9688a8dbd7b6bffe811eed5e33750508f2b372d86b752bc11717066cdb58baac,yes,canonical,weighted_dissimilarity,"compute_regionwise_zscore_stats is reused verbatim. apply_regionwise_zscore is deliberately NOT reused because it imputes missing values."
existing_implementation,,src/marginal_area_of_applicability.py,python,marginal_aoa.v1,,66b23909a0da492d477d14122c3480f3c2ca000f6bb9079e6b1d9405b36dd8d3,yes,reference_pattern,none,"1368 lines. The structural template the completion module should follow. Last commit 734d62129fc02877db1a2932c2dcbb38e99cccd1."
existing_tests,,tests/test_marginal_area_of_applicability.py,python,pytest,,,yes,reference_pattern,none,"766 lines, 46 tests. Nine tests should be adapted rather than rewritten; see doc 08 Part 3."
baseline_lst_normal_candidate,manavgat_2021,outputs/experiments/manavgat_2021/step5/baseline_lst_mean_celsius.tif,geotiff,landsat_4yr_window_symmetric_baseline,,2272f85756ececdaf689be741d906a3fb09fba8f264dc06c0bd43114b9086c92,no,rejected_not_a_climate_normal,none,"4 baseline years 2017-2020, anniversary 07-27, 56-day window. Rejected as climate; see doc 04."
baseline_lst_normal_candidate,bejis_2022,outputs/experiments/bejis_2022/step5/baseline_lst_mean_celsius.tif,geotiff,landsat_4yr_window_symmetric_baseline,,a8acd37d39676c6f82eb34ace63140e231b5eaf1113447f21901b774cc32e78e,no,rejected_not_a_climate_normal,none,"4 baseline years 2018-2021 -- a DIFFERENT reference period from the other three AOIs. Anniversary 08-14, 60-day window."
baseline_lst_normal_candidate,mugla_2021,outputs/experiments/mugla_2021/step5/baseline_lst_mean_celsius.tif,geotiff,landsat_4yr_window_symmetric_baseline,,192690401d9a825f1ec7257696bbd90653d38102371641ce2a5cebf79a0b76f3,no,rejected_not_a_climate_normal,none,"4 baseline years 2017-2020, anniversary 07-28, 57-day window."
baseline_lst_normal_candidate,evia_2021_extended,outputs/experiments/evia_2021_extended/step5/baseline_lst_mean_celsius.tif,geotiff,landsat_4yr_window_symmetric_baseline,,54e4ca8957a464e797460beda5481ea36a6f25637c1f511722cd328e4cb1e34b,no,rejected_not_a_climate_normal,none,"4 baseline years 2017-2020, anniversary 08-02, 58-day window."
baseline_tvdi_candidate,manavgat_2021,outputs/experiments/manavgat_2021/step5c/baseline_tvdi_mean.tif,geotiff,tvdi_4yr_baseline,,84078cd485e8abf936a0a3056b9d28a1704d3171a6c95d1236595f78eb97b48a,no,rejected_not_a_climate_normal,none,"Derived from the same AOI-specific 4-year baseline LST and NDVI; inherits every defect."
baseline_tvdi_candidate,bejis_2022,outputs/experiments/bejis_2022/step5c/baseline_tvdi_mean.tif,geotiff,tvdi_4yr_baseline,,8353f2a46be7c64705e68ed62a6b53a79dbad2247c2bdc50dd3835b50dcd1248,no,rejected_not_a_climate_normal,none,"Same."
baseline_tvdi_candidate,mugla_2021,outputs/experiments/mugla_2021/step5c/baseline_tvdi_mean.tif,geotiff,tvdi_4yr_baseline,,61f0d8636d27de59cc111a7b2e23bc1c43e5dd507c172dba2b43c5fcbea810df,no,rejected_not_a_climate_normal,none,"Same."
baseline_tvdi_candidate,evia_2021_extended,outputs/experiments/evia_2021_extended/step5c/baseline_tvdi_mean.tif,geotiff,tvdi_4yr_baseline,,8e27155904a75eb39f39783d8f79085b8c9835b0a31e86463f364a1d76fdfa76,no,rejected_not_a_climate_normal,none,"Same."
domain_classifier_audit,,outputs/diagnostics/domain_classifier_audit/comparison/multi_aoi_domain_classifier_comparison.csv,csv,domain_classifier_audit,,,no,rejected_incomplete,none,"Only 3 of 6 unordered pairs; evia_2021_extended absent. The artifact itself disclaims being a geographic distance."
climate_normal_input,,MISSING,none,none,,,no,absent_requires_new_export,climatic_distance,"No climate-normal input exists anywhere in the repository. See doc 04 and doc 05."
