variable,data_source,collection_or_version,temporal_coverage,aggregation,resolution,crs,aoi_availability,existing_artifact_path,missing_aoi,scientific_suitability,requires_new_gee_export,verdict,notes
elevation_mean,Copernicus DEM,COPERNICUS/DEM/GLO30,static,mean over the 500 m cell,30 m,EPSG:4326,all_four,step8a column,none,"A strong climate proxy in Mediterranean terrain, but already the top-weighted predictor in three of four AOIs. Recycling it as climate would make the two components near-duplicates.",no,REJECTED,Fallback dataset USGS/SRTMGL1_003.
landcover_dominant,ESA WorldCover,ESA/WorldCover/v200,2021 epoch,dominant class over the 500 m cell,10 m native,EPSG:4326,all_four,step8a column,none,"Static land cover, not climate. Already a predictor.",no,REJECTED,"Static land cover, not climate. Already a predictor. The earlier proposal to use it as the climate land mask is SUPERSEDED: the accepted mask is TerraClimate's own native valid-land support."
domain_classifier_auc,learned diagnostic,outputs/diagnostics/domain_classifier_audit,n/a,source-vs-target classifier AUC,500 m,EPSG:4326,three_of_six_unordered_pairs,outputs/diagnostics/domain_classifier_audit/comparison/multi_aoi_domain_classifier_comparison.csv,evia_2021_extended,"A learned separability measure over the same predictors, not an independent climatic axis. The artifact itself disclaims being a geographic distance.",no,REJECTED,AUC 0.99987 / 0.99979 / 0.98224 for the three available pairs. Evia absent.
annual_mean_temperature_c,TerraClimate,IDAHO_EPSCOR/TERRACLIMATE,1958-present monthly; accepted window 1991-2020,"mean of (tmmx+tmmn)/2 over all months, arithmetic mean over valid TerraClimate land pixels inside the canonical AOI bbox",4638 m,EPSG:4326,authorised_pending_export,AUTHORISED_PENDING_EXPORT,all_four,"30-year WMO normal, shared reference period, shared seasonal definition, independent of the Landsat/MODIS predictor products. Satisfies all seven acceptance criteria in doc 04 section 4.",YES,ACCEPTED_PRIMARY,"Scale factor 0.1 C; must be read from band metadata at export time, not hard-coded."
warm_season_mean_temperature,TerraClimate,IDAHO_EPSCOR/TERRACLIMATE,1991-2020,"mean of (tmmx+tmmn)/2 over months 6-9, land-masked AOI mean",4638 m,EPSG:4326,none_yet,PROPOSED,all_four,"Near-duplicate of the annual axis beside it. In a Mediterranean climate the warm-season and annual signals are strongly collinear, so including both would weight the temperature and precipitation directions twice each in an equally-weighted metric, downweighting the deficit and VPD axes.",no,REMOVED_DUPLICATE_AXIS,Proposed in the six-variable draft; REMOVED from the accepted four-variable vector (decision C-8).
annual_precipitation_mm,TerraClimate,IDAHO_EPSCOR/TERRACLIMATE,1991-2020,"mean over years of the annual sum of pr, arithmetic mean over valid TerraClimate land pixels inside the canonical AOI bbox",4638 m,EPSG:4326,authorised_pending_export,AUTHORISED_PENDING_EXPORT,all_four,Moisture supply axis. Entirely absent from the repository at present.,YES,ACCEPTED_PRIMARY,No precipitation product of any kind exists in the repository today.
warm_season_precipitation,TerraClimate,IDAHO_EPSCOR/TERRACLIMATE,1991-2020,"mean over years of the Jun-Sep sum of pr, land-masked AOI mean",4638 m,EPSG:4326,none_yet,PROPOSED,all_four,"Near-duplicate of the annual axis beside it. In a Mediterranean climate the warm-season and annual signals are strongly collinear, so including both would weight the temperature and precipitation directions twice each in an equally-weighted metric, downweighting the deficit and VPD axes.",no,REMOVED_DUPLICATE_AXIS,Proposed in the six-variable draft; REMOVED from the accepted four-variable vector (decision C-8).
warm_season_climatic_water_deficit_mm,TerraClimate,IDAHO_EPSCOR/TERRACLIMATE,1991-2020,"mean over years of the Jun-Sep sum of def, arithmetic mean over valid TerraClimate land pixels inside the canonical AOI bbox",4638 m,EPSG:4326,authorised_pending_export,AUTHORISED_PENDING_EXPORT,all_four,The canonical fire-climate covariate: integrates temperature and moisture supply into the quantity governing fuel dryness. Native to TerraClimate; would have to be derived under ERA5-Land.,YES,ACCEPTED_PRIMARY,The single strongest reason to prefer TerraClimate over ERA5-Land.
warm_season_vpd_kpa,TerraClimate,IDAHO_EPSCOR/TERRACLIMATE,1991-2020,"mean of vpd over months 6-9, arithmetic mean over valid TerraClimate land pixels inside the canonical AOI bbox",4638 m,EPSG:4326,authorised_pending_export,AUTHORISED_PENDING_EXPORT,all_four,"Atmospheric moisture demand axis, distinct from supply.",YES,ACCEPTED_PRIMARY,Scale factor 0.01 kPa; read from band metadata at export time.
era5land_cross_check,ERA5-Land monthly aggregates,ECMWF/ERA5_LAND/MONTHLY_AGGR,1950-present; proposed window 1991-2020,"temperature_2m, total_precipitation_sum, dewpoint_temperature_2m; same season months",11132 m,EPSG:4326,none_yet,PROPOSED,all_four,"Independent reanalysis cross-check. At ~11 km the smallest AOI (bejis, ~60x52 km) spans only about 5x5 cells, too coarse to resolve the coastal/inland contrast that drives the Bejis result.",no,DEFERRED_NOT_IN_INITIAL_RUN,"Removed from the primary completion work (decision C-8). Recorded only as a possible later sensitivity, which would need its own preregistration."
worldclim_bio,WorldClim,WORLDCLIM/V1/BIO,1960-1990 fixed,19 bioclimatic variables,927 m,EPSG:4326,none_yet,NOT_PROPOSED,all_four,"Finest resolution of the candidates, but the reference period is fixed at 1960-1990 and cannot be changed, and there is no moisture-deficit axis.",YES,REJECTED,A 1960-1990 normal is stale for a 2021/2022 fire-climate question.
chirps_precipitation,CHIRPS,UCSB-CHG/CHIRPS/DAILY,1981-present,daily precipitation,5566 m,EPSG:4326,none_yet,NOT_PROPOSED,all_four,Precipitation only; a single axis cannot constitute a climate vector.,YES,REJECTED,"Would need to be combined with a separate temperature product, which TerraClimate already provides in one collection."
mediterranean_reference_window,TerraClimate,IDAHO_EPSCOR/TERRACLIMATE,1991-2020,"same four variables over valid TerraClimate land pixels of lon[-10,42] lat[30,47]; supplies ref_mean and population SD (ddof=0)",4638 m,EPSG:4326,authorised_pending_export,AUTHORISED_PENDING_EXPORT,n/a,"Supplies ref_mean and ref_sd for the standardisation, so the scale does not come from the four AOIs themselves and does not change when a fifth AOI is added.",YES,ACCEPTED_PRIMARY,Not an AOI. Fixed reference window supplying ref_mean and ref_sd so the scale does not come from the four AOIs and does not change when a fifth is added. All four AOIs lie strictly inside it. Same native TerraClimate land support as the AOI summaries -- one mask definition throughout.
